"npx" "npy" "npz" "procs" "threads" "n" "Nx" "Ny" "Nz" "scal" "axpby" "pointwiseDot" "dot" "dx" "dy" "dz" "arakawa" "iterations" "cg" "ds" "exblas_d" "exblas_i"
2 2 1 4 136 3 34 34 16 3.47495e-05 0.00084682 0.00268708 0.000321281 0.000136449 0.00012629 3.01504e-05 0.000791619 100 0.00370575 0.0050605 1.67229e-07 4505413749951115243
2 2 1 4 136 3 34 34 32 1.09196e-05 1.09696e-05 1.55497e-05 0.00013437 0.000187972 0.00017282 1.87802e-05 0.00121104 100 0.00146103 0.0101616 1.67205e-07 4505412855117897975
2 2 1 4 136 3 34 34 64 1.09315e-05 1.26195e-05 2.00915e-05 0.000154898 0.000278308 0.000253029 1.91593e-05 0.0018022 100 0.0021098 0.0203816 1.67202e-07 4505412758015676329
2 2 1 4 136 3 34 34 128 1.62697e-05 1.4739e-05 3.17788e-05 0.000180972 0.000488341 0.00041775 2.18701e-05 0.00293079 100 0.00329042 0.0406468 1.67202e-07 4505412742001365967
2 2 1 4 136 3 36 36 16 1.10984e-05 1.05715e-05 1.33109e-05 0.000125849 0.000122788 0.000120952 2.88916e-05 0.000835359 100 0.00115083 0.00508228 1.06567e-07 4502644410476417231
2 2 1 4 136 3 36 36 32 1.11604e-05 1.10102e-05 1.61195e-05 0.00013186 0.000187449 0.000179451 1.88994e-05 0.0013079 100 0.00149802 0.0102188 1.06545e-07 4502642714763987825
2 2 1 4 136 3 36 36 64 1.1642e-05 1.28698e-05 2.12097e-05 0.00014312 0.000288901 0.000253499 1.93095e-05 0.00185802 100 0.0022433 0.0203592 1.06542e-07 4502642549530967904
2 2 1 4 136 3 36 36 128 1.34301e-05 1.49322e-05 3.29185e-05 0.0001723 0.000485229 0.000429111 2.23279e-05 0.0030093 100 0.00324376 0.0407374 1.06542e-07 4502642507977853703
2 2 1 4 136 3 68 68 16 1.15299e-05 1.2362e-05 2.03705e-05 0.00014344 0.000187871 0.00018028 2.99907e-05 0.00127294 100 0.0016464 0.00684986 0.000385386 4555744743904739264
2 2 1 4 136 3 68 68 32 1.33801e-05 1.472e-05 2.97403e-05 0.000164969 0.000288949 0.00025996 4.79507e-05 0.00202368 100 0.00265494 0.0134799 0.000385391 4555744823578851488
2 2 1 4 136 3 68 68 64 2.72512e-05 1.84298e-05 5.63192e-05 0.000200429 0.00047827 0.00046005 8.28719e-05 0.00330788 100 0.00402914 0.0268575 0.000385394 4555744887692253025
2 2 1 4 136 3 68 68 128 2.21515e-05 2.71916e-05 0.00016788 0.000329089 0.00066005 0.000557911 7.8721e-05 0.00446529 100 0.00568085 0.0530445 0.000385394 4555744893882345461
2 2 1 4 136 3 72 72 16 1.17087e-05 1.29008e-05 2.23994e-05 0.000143962 0.0002072 0.000192928 2.8851e-05 0.00137446 100 0.00182174 0.00718084 0.000442966 4556806905287637203
2 2 1 4 136 3 72 72 32 2.07806e-05 1.50108e-05 3.24798e-05 0.000168719 0.000323641 0.00028193 4.64201e-05 0.00221441 100 0.00298221 0.0139859 0.000442947 4556806546061583365
2 2 1 4 136 3 72 72 64 1.67918e-05 1.90187e-05 6.56199e-05 0.000219002 0.00054565 0.000476811 8.37898e-05 0.00365812 100 0.00436165 0.0272421 0.000442957 4556806741673590415
2 2 1 4 136 3 72 72 128 2.32911e-05 3.01218e-05 0.000194349 0.000372989 0.00081902 0.000601449 9.50289e-05 0.00499074 100 0.00626521 0.055139 0.000442966 4556806909695264600
2 2 1 4 136 3 136 136 16 1.63603e-05 1.85919e-05 5.723e-05 0.000204391 0.000348849 0.000333371 3.45397e-05 0.00262989 100 0.00339729 0.0165083 0.00232519 4567507947476336132
2 2 1 4 136 3 136 136 32 2.21705e-05 2.79593e-05 0.000181561 0.00033128 0.000607319 0.000579312 6.217e-05 0.00423587 100 0.00551865 0.0297542 0.00232531 4567508233213800511
2 2 1 4 136 3 136 136 64 3.36099e-05 0.00012768 0.0003352 0.00062851 0.000965009 0.00088582 0.000198169 0.00628691 100 0.00876995 0.0576373 0.00232524 4567508058033260661
2 2 1 4 136 3 136 136 128 0.00018424 0.00029387 0.0006583 0.00094317 0.00160692 0.00140612 0.00040678 0.0109213 100 0.0134137 0.113309 0.00232533 4567508271049148025
2 2 1 4 136 3 144 144 16 1.67799e-05 1.94907e-05 6.41704e-05 0.00021342 0.000383639 0.000381119 3.6931e-05 0.00285429 100 0.00359758 0.0177502 0.00261013 4568164961897823502
2 2 1 4 136 3 144 144 32 2.49195e-05 4.107e-05 0.00019311 0.00037853 0.000652139 0.000644751 6.97899e-05 0.00467335 100 0.00558608 0.0322287 0.00260998 4568164630341615549
2 2 1 4 136 3 144 144 64 4.74691e-05 0.000151789 0.000372741 0.000659459 0.0010272 0.00102464 0.000223289 0.00686614 100 0.00858744 0.0620318 0.00261004 4568164761139846759
2 2 1 4 136 3 144 144 128 0.000208628 0.00033421 0.00069139 0.00103786 0.00169512 0.00152625 0.0004808 0.0116993 100 0.0144072 0.124188 0.00261008 4568164846450344301
2 2 1 4 136 3 272 272 16 3.42107e-05 0.00012455 0.000336308 0.00061727 0.00081634 0.000923622 0.00015718 0.00594973 100 0.00752331 0.0375179 0.00538525 4572858797351524106
2 2 1 4 136 3 272 272 32 0.00017874 0.000296669 0.000629549 0.00100361 0.0012422 0.00122933 0.000325711 0.00940034 100 0.0119981 0.0718228 0.00538527 4572858814645414271
2 2 1 4 136 3 272 272 64 0.000472291 0.000584531 0.00121257 0.0016297 0.00240811 0.0023045 0.00066313 0.0174295 100 0.0207653 0.145061 0.00538527 4572858817992563722
2 2 1 4 136 3 272 272 128 0.000999951 0.00111671 0.00245692 0.00286557 0.00389711 0.00378271 0.00121393 0.0537643 100 0.0944553 0.264421 0.0053853 4572858846345053680
2 2 1 4 136 3 288 288 16 3.87406e-05 0.00015924 0.000372849 0.000664411 0.000897369 0.00098989 0.000172491 0.00640823 100 0.00796919 0.0415751 0.00555591 4573055550466227621
2 2 1 4 136 3 288 288 32 0.000203509 0.0003336 0.000688939 0.00104563 0.00138669 0.00134158 0.00035836 0.010331 100 0.0132287 0.0774544 0.00555597 4573055624876903046
2 2 1 4 136 3 288 288 64 0.000534439 0.000666568 0.00138639 0.00178832 0.00243866 0.00228334 0.00072011 0.018286 100 0.028262 0.157064 0.00555593 4573055570765106146
2 2 1 4 136 3 288 288 128 0.0011078 0.00129511 0.00276295 0.00323946 0.00441391 0.004058 0.00138459 0.0733752 100 0.103357 0.289017 0.00555594 4573055581452616759
2 2 1 4 136 4 34 34 16 1.11294e-05 1.03188e-05 1.513e-05 0.0001385 0.000166461 0.000160549 3.17407e-05 0.00110635 100 0.00143294 0.00568988 0.000207601 4551791141447346664
2 2 1 4 136 4 34 34 32 1.0891e-05 1.24788e-05 1.98388e-05 0.000139401 0.00026391 0.000218971 5.04994e-05 0.00170099 100 0.00211281 0.0112236 0.000207605 4551791306223136386
2 2 1 4 136 4 34 34 64 1.31416e-05 1.40905e-05 2.82192e-05 0.00016139 0.000460851 0.0004039 2.32911e-05 0.00291702 100 0.00317843 0.0222852 0.000207586 4551790599670608679
2 2 1 4 136 4 34 34 128 0.000879071 2.41709e-05 6.953e-05 0.00024296 0.000682371 0.000449741 2.89297e-05 0.0042744 100 0.0049397 0.04464 0.000207609 4551791458354389305
2 2 1 4 136 4 36 36 16 1.09982e-05 1.07384e-05 1.6551e-05 0.00016619 0.00017132 0.000168011 2.93112e-05 0.00123201 100 0.00142015 0.00583691 0.00024169 4553048813347651940
2 2 1 4 136 4 36 36 32 1.0941e-05 1.28698e-05 2.00891e-05 0.000142679 0.00026551 0.000241132 4.6351e-05 0.00173874 100 0.00214455 0.0112451 0.000241716 4553049766416595421
2 2 1 4 136 4 36 36 64 1.35922e-05 1.49512e-05 3.43108e-05 0.000163751 0.000440209 0.00041187 2.51102e-05 0.00299237 100 0.00319383 0.0227439 0.000241689 4553048757869397392
2 2 1 4 136 4 36 36 128 1.65701e-05 1.95217e-05 5.96595e-05 0.000201621 0.0005375 0.000436981 3.99399e-05 0.00379349 100 0.00452515 0.0455386 0.000241702 4553049264233108283
2 2 1 4 136 4 68 68 16 1.36495e-05 1.46294e-05 2.89106e-05 0.00016588 0.000284121 0.000253861 3.19314e-05 0.00188133 100 0.00239937 0.0109157 0.00128134 4563551972557107285
2 2 1 4 136 4 68 68 32 1.59311e-05 2.69198e-05 5.36203e-05 0.000201828 0.00045069 0.000445709 5.126e-05 0.00327144 100 0.00375261 0.0212439 0.0012817 4563553619136072885
2 2 1 4 136 4 68 68 64 2.06494e-05 2.58303e-05 0.00014045 0.000294359 0.000627289 0.00054003 8.63099e-05 0.00443739 100 0.00564849 0.0404485 0.00128156 4563552957499783288
