"npx" "npy" "npz" "procs" "threads" "n" "Nx" "Ny" "Nz" "scal" "axpby" "pointwiseDot" "dot" "dx" "dy" "dz" "arakawa" "iterations" "cg" "ds" "exblas_d" "exblas_i"
1 2 1 2 24 2 128 128 1 3.98159e-06 2.7771e-05 4.8089e-06 5.01704e-05 8.71992e-05 5.60713e-05 0.0 0.000170619 238 0.000212542 0.0 0.151641 4594631466480582648
1 2 1 2 24 2 136 136 1 3.7694e-06 5.60999e-06 4.61102e-06 2.32697e-05 1.4689e-05 4.85611e-05 0.0 0.00017601 252 0.000223928 0.0 0.133925 4593993187918492901
1 2 1 2 24 2 256 256 1 4.23908e-06 7.35044e-06 7.97033e-06 4.37307e-05 3.47781e-05 7.64394e-05 0.0 0.000287759 467 0.000427229 0.0 0.0361654 4585372798343960059
1 2 1 2 24 2 272 272 1 4.30107e-06 9.0003e-06 8.9097e-06 4.27818e-05 4.15587e-05 7.31587e-05 0.0 0.00031091 497 0.000466811 0.0 0.0318503 4584750932877779909
1 2 1 2 24 2 384 384 1 4.8089e-06 7.79152e-06 1.42908e-05 6.27589e-05 7.24196e-05 0.000104678 0.0 0.000456331 690 0.000746239 0.0 0.0153513 4580003056536613790
1 2 1 2 24 2 408 408 1 5.09024e-06 7.49111e-06 1.18709e-05 6.95181e-05 5.83506e-05 9.97901e-05 0.0 0.000493782 725 0.000876299 0.0 0.0134833 4578926208299494356
1 2 1 2 24 2 512 512 1 6.99997e-06 4.96197e-05 6.75797e-05 0.000108328 0.00029628 0.00018461 0.0 0.000828681 916 0.00128041 0.0 0.00825576 4575912743595748284
1 2 1 2 24 2 544 544 1 7.05004e-06 1.10412e-05 3.02005e-05 0.000141799 0.00014111 0.000163491 0.0 0.00091028 975 0.00130779 0.0 0.00723252 4574988545137528837
1 2 1 2 24 2 768 768 1 1.11198e-05 0.000105741 0.00017096 0.00021369 0.00064307 0.000358992 0.0 0.00230377 1000 0.00319102 0.0 0.00339469 4569974037295301634
1 2 1 2 24 2 816 816 1 1.23787e-05 3.72982e-05 0.000325711 0.00023566 0.000294199 0.000312989 0.0 0.00274387 1000 0.00336725 0.0 0.00296569 4568984844829163037
